Table A-1. Rankings of 2010 U.S. midterm candidates based on Twitter voter-candidate engagement indicators,,,,,,,,,,,,,,,
Rank,Number of followers,,,Number of @mentions,,,Number of retweets,,,Number of @mentions per tweet,,,Number of retweets per tweet,,
,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score,Name (Party),Race,Score
94,Colleen Hanabusa (D),H,1606,Dan Onorato (D),G,319,Dan Malloy (D),G,188,John Callahan (D),H,4.50,Morgan Griffith (R),H,2.20
95,Kelly Ayotte (R),S,1600,Sean Duffy (R),H,318,Dina Titus (D),H,180,Duke Aiona (R),G,4.45,Jake Towne (3),H,2.20
96,Paul Hodes (D),S,1578,Virg Bernero (D),G,315,Roxanne Conlin (D),S,179,Ben Quayle (R),H,4.39,Rocky Raczkowski (R),H,2.19
97,Van Tran (R),H,1540,Glenn Nye (D),H,315,Daniel Webster (R),H,177,Chad Causey (D),H,4.37,Lee Fisher (D),S,2.18
98,Roxanne Conlin (D),S,1537,Paul Hodes (D),S,315,Lincoln Chafee (I),G,177,Ann Marie Buerkle (R),H,4.35,Adam Kinzinger (R),H,2.15
99,Brian Sandoval (R),G,1513,Tom Foley (R),G,313,Jon Hulburd (D),H,177,Ken Buck (R),S,4.23,Tom Barrett (D),G,2.15
100,Mike Lee (R),S,1508,Brian Dubie (R),G,313,Keith Fimian (R),H,172,Mike Lee (R),S,4.14,Ron Johnson (R),S,2.14
101,Scott McAdams (D),S,1502,Kristi Noem (R),H,308,Suzanne M. Kosmas (D),H,172,Mick Mulvaney (R),H,4.11,Ken Buck (R),S,2.11
102,Chris Dudley (R),G,1485,David Harmer (R),H,307,Terry Bransrad (R),G,170,Jesse Kelly (R),H,3.99,Vicky Hartzler (R),H,2.08
103,John Hickenlooper (D),G,1482,Jim Himes (D),H,305,"Robert Leroy \Bob\"" Ehrlich"" (R)",G,167,Bill Haslam (R),G,3.91,Keith Fimian (R),H,2.07
104,Dan Malloy (D),G,1452,Van Tran (R),H,302,Vicky Hartzler (R),H,162,Lou Barletta (R),H,3.78,Austin Scott (R),H,2.04
